Episode,Score,Average Score,tau
290,-233.9907036963194,-135.6252921146147,0.0001
291,-156.72816334245402,-136.21181282716358,0.0001
292,-73.66117475164387,-135.68930232793883,0.0001
293,-126.3669503988451,-135.67077849762504,0.0001
294,-127.66790006205672,-135.7036365201111,0.0001
295,-151.1626223842982,-136.19122681240688,0.0001
296,-136.3845058784986,-136.60513977414158,0.0001
297,-83.07555066442725,-136.4886399969545,0.0001
298,-116.75934051020644,-136.80191903366125,0.0001
299,-102.13473091066722,-136.9331461281637,0.0001
300,-100.86397002420823,-137.10634285272548,0.0001
301,-91.47302834614571,-136.93027591051504,0.0001
302,-94.08206130113629,-137.20816987061622,0.0001
303,-89.75135320550345,-136.90410811786347,0.0001
304,-54.74857589054925,-135.48369769510182,0.0001
305,-54.83318493534231,-135.14429571193352,0.0001
306,-132.86141413450332,-135.32389037246878,0.0001
307,-118.28165760037115,-135.5144071685082,0.0001
308,-92.67972564272355,-135.10931515358143,0.0001
309,-132.01986044315973,-135.44206294416622,0.0001
310,-171.78513117197735,-136.03100087431102,0.0001
311,126.69215295265674,-133.8092425327862,0.0001
312,-89.03681666769927,-133.84733878517366,0.0001
313,-77.5321306839016,-133.16592618936417,0.0001
314,-136.82314224267185,-133.052037284347,0.0001
315,-116.55345562267047,-133.01158173115564,0.0001
316,-187.80576018276358,-133.70180034900363,0.0001
317,-122.21569235664262,-133.9601417077076,0.0001
318,-127.71180049061749,-133.70282917348644,0.0001
319,-107.53751432551839,-133.23375175808272,0.0001
320,-99.2636579656123,-132.9929952147895,0.0001
321,-130.48927691550088,-133.0491360895051,0.0001
322,-136.27148411298063,-133.02907679109813,0.0001
323,-98.72872367380417,-133.03117459200308,0.0001
324,-180.40585093798632,-133.74467687408705,0.0001
325,-106.4717242639636,-133.2214080800018,0.0001
326,-117.11955548700934,-132.73600996597,0.0001
327,-103.56791274684254,-132.28975321609144,0.0001
328,-153.223678061722,-132.8338911720641,0.0001
329,-194.2846674575591,-133.1915378076891,0.0001
330,-77.21672686026932,-132.41181916537892,0.0001
331,-57.149334254940214,-131.72028303741715,0.0001
332,-2.0514136498954674,-130.29225315748008,0.0001
333,-47.55169876505372,-129.38946810302926,0.0001
334,-64.33273200938473,-128.57856265481578,0.0001
335,-200.3413478189558,-129.21052493523098,0.0001
336,-29.096773736693546,-127.79945164365783,0.0001
337,-211.41648036590982,-128.53107326429136,0.0001
338,-17.91158981536518,-127.2359841475917,0.0001
339,-31.77656149416558,-126.23086137941534,0.0001
340,-59.21096451653729,-125.28200078343264,0.0001
341,-49.74908965640019,-124.37677930484935,0.0001
342,-62.91833657083581,-123.48343760063126,0.0001
343,-41.908586005423004,-122.56583918861458,0.0001
344,-134.3959440128305,-122.37528938183861,0.0001
345,-17.20350723930096,-120.58753511497153,0.0001
346,-151.80530377760118,-121.02473255671593,0.0001
347,-40.88585002219444,-120.00787446102687,0.0001
348,-64.02281072979989,-119.32260553976752,0.0001
349,-76.21796652557835,-118.2312041034518,0.0001
350,-57.60697215067384,-117.6853727094458,0.0001
351,-20.05984555623427,-117.08351428768673,0.0001
352,-144.11684891825917,-116.94556690916099,0.0001
353,-92.48969240013368,-116.90174519275057,0.0001
354,-21.907810738473543,-115.46388668244755,0.0001
355,-86.83949996686277,-115.21594864711533,0.0001
356,-143.7966795077839,-115.79344123262905,0.0001
357,-101.88660331653571,-116.0425628837871,0.0001
358,-68.7451418232854,-115.72975397701371,0.0001
359,-81.3866440758333,-115.147661124345,0.0001
360,-196.99140625737937,-116.2061531457891,0.0001
361,-41.7757972434305,-114.80064613870917,0.0001
362,-82.7297697183579,-114.08779932292144,0.0001
363,-88.93210338823836,-113.79043358673194,0.0001
364,182.06790100933898,-109.54551272664199,0.0001
365,-41.80230742861102,-109.11013528898378,0.0001
