episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
96056,570,10,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,34,2,0,33,33,33,0,0,12,7,1,0,10,10,0,200,170,0.0,0.9444444444444444,0.0,1.0,1.0
96057,552,10,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,33,0,0,33,33,33,0,0,12,1,1,0,10,10,0,200,152,0.0,0.9722222222222222,0.0,1.0,1.0
96058,579,10,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,41,39,8,3,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.94875,0.0,1.0,1.0
96059,582,10,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,32,2,1,33,33,33,0,0,12,11,1,0,10,10,0,200,182,0.0,0.9150326797385621,0.0,1.0,1.0
96060,576,10,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,38,36,5,2,32,32,32,0,0,10,10,0,0,10,10,0,200,176,0.0,0.9444444444444444,0.0,1.0,1.0
96061,579,10,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,41,35,6,3,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.8454106280193237,0.0,1.0,1.0
96062,579,10,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,43,42,9,4,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.9782608695652174,0.0,1.0,1.0
96063,582,10,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,31,3,2,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.8625,0.0,1.0,1.0
96064,561,10,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,34,3,2,33,33,33,0,0,11,4,1,0,10,10,0,200,161,0.0,0.9523809523809523,0.0,1.0,1.0
96065,584,10,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,30,2,2,32,32,32,0,0,11,11,0,0,11,10,0,200,184,0.0,0.8819444444444444,0.0,1.0,1.0
96066,633,11,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,34,0,0,35,35,35,0,0,11,11,0,0,11,11,0,220,193,0.0,0.9761904761904762,0.0,1.0,1.0
96067,582,10,cramped_room,9.84,8.78,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,36,3,1,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.9666666666666667,0.0,1.0,1.0
96068,533,9,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,32,2,0,32,32,32,0,0,10,9,0,0,10,10,0,180,173,0.0,0.9377289377289377,0.0,1.0,1.0
96069,576,10,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,33,3,3,33,33,33,0,0,13,9,3,1,10,10,0,200,176,0.0,0.91875,0.0,1.0,1.0
96070,573,10,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,39,35,5,1,33,33,33,0,0,11,8,1,0,10,10,0,200,173,0.0,0.8973684210526316,0.0,1.0,1.0
96071,636,11,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,35,0,0,36,36,36,0,0,11,11,0,0,11,11,0,220,196,0.0,0.9772727272727273,0.0,1.0,1.0
96072,561,10,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,34,1,0,33,33,33,0,0,15,4,4,1,10,10,0,200,161,0.0,0.9642857142857143,0.0,1.0,1.0
96073,533,9,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,33,2,0,32,32,32,0,0,10,9,0,0,10,10,0,180,173,0.0,0.9666666666666667,0.0,1.0,1.0
96074,582,10,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,32,2,0,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.9111842105263157,0.0,1.0,1.0
96075,579,10,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,33,1,0,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.9424342105263157,0.0,1.0,1.0
96076,582,10,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,32,1,1,33,33,33,0,0,12,11,1,0,10,10,0,200,182,0.0,0.916083916083916,0.0,1.0,1.0
